Jenis Kelamin,Pekerjaan,Tujuan Kunjungan,Tanggal,Waktu
0,2,0,2024-01-02,08:25:00
1,0,0,2024-01-02,09:12:00
1,0,0,2024-01-02,09:20:00
1,0,0,2024-01-02,09:22:00
1,0,1,2024-01-02,09:45:00
0,0,0,2024-01-02,09:47:00
0,1,0,2024-01-02,09:48:00
1,1,0,2024-01-02,09:48:00
0,0,2,2024-01-02,10:09:00
0,0,2,2024-01-02,10:09:00
1,0,1,2024-01-02,10:10:00
1,0,3,2024-01-02,10:21:00
1,0,0,2024-01-02,10:21:00
1,0,2,2024-01-02,10:40:00
1,1,2,2024-01-02,11:01:00
1,1,2,2024-01-02,11:04:00
1,1,2,2024-01-02,11:04:00
1,1,2,2024-01-02,11:05:00
1,1,2,2024-01-02,11:07:00
1,0,1,2024-01-02,11:11:00
1,0,0,2024-01-02,11:19:00
0,1,2,2024-01-02,11:36:00
0,3,0,2024-01-02,11:40:00
0,1,0,2024-01-02,12:03:00
0,0,3,2024-01-02,12:08:00
0,1,3,2024-01-02,12:18:00
0,0,0,2024-01-02,13:00:00
1,1,0,2024-01-02,13:04:00
0,1,0,2024-01-02,13:05:00
1,2,0,2024-01-02,13:52:00
1,2,0,2024-01-02,13:55:00
1,2,0,2024-01-02,13:56:00
1,2,0,2024-01-02,13:57:00
0,2,1,2024-01-02,14:16:00
0,2,0,2024-01-02,14:20:00
1,0,0,2024-01-02,14:26:00
0,0,0,2024-01-02,15:03:00
1,0,0,2024-01-02,15:07:00
1,0,0,2024-01-02,15:08:00
0,1,0,2024-01-02,15:19:00
1,2,0,2024-01-02,15:36:00
0,3,0,2024-01-02,15:50:00
1,2,0,2024-01-02,15:50:00
0,0,3,2024-01-02,09:52:00
0,0,3,2024-01-02,09:52:00
0,0,3,2024-01-02,09:53:00
0,0,3,2024-01-02,09:53:00
0,0,0,2024-01-02,09:54:00
1,0,0,2024-01-02,10:10:00
1,0,0,2024-01-02,10:11:00
1,0,1,2024-01-02,10:36:00
1,0,1,2024-01-02,10:40:00
0,0,0,2024-01-02,11:17:00
1,0,0,2024-01-02,11:17:00
0,0,3,2024-01-02,11:37:00
0,0,0,2024-01-02,12:18:00
1,2,3,2024-01-02,13:15:00
0,4,2,2024-01-02,13:58:00
0,1,0,2024-01-03,07:56:00
0,1,0,2024-01-03,07:56:00
0,1,0,2024-01-03,07:57:00
0,1,0,2024-01-03,07:57:00
0,1,0,2024-01-03,07:57:00
1,0,0,2024-01-03,08:42:00
0,2,0,2024-01-03,08:44:00
1,0,0,2024-01-03,09:00:00
1,0,4,2024-01-03,09:00:00
1,0,0,2024-01-03,09:10:00
0,0,0,2024-01-03,09:16:00
1,0,1,2024-01-03,09:26:00
0,0,0,2024-01-03,09:32:00
1,2,0,2024-01-03,09:32:00
0,2,0,2024-01-03,09:38:00
1,2,4,2024-01-03,09:42:00
0,5,1,2024-01-03,09:46:00
0,0,2,2024-01-03,09:51:00
0,0,0,2024-01-03,10:09:00
1,0,1,2024-01-03,10:19:00
1,2,0,2024-01-03,10:30:00
1,7,0,2024-01-03,10:33:00
1,1,0,2024-01-03,10:33:00
1,1,0,2024-01-03,10:33:00
0,1,0,2024-01-03,10:37:00
1,2,0,2024-01-03,10:39:00
1,2,0,2024-01-03,10:48:00
0,2,0,2024-01-03,10:48:00
0,2,0,2024-01-03,10:53:00
1,2,0,2024-01-03,10:57:00
1,0,0,2024-01-03,11:11:00
1,0,0,2024-01-03,11:11:00
1,0,0,2024-01-03,11:11:00
1,0,0,2024-01-03,11:14:00
1,2,0,2024-01-03,11:16:00
1,0,0,2024-01-03,11:17:00
0,0,0,2024-01-03,11:25:00
1,2,0,2024-01-03,11:26:00
0,2,2,2024-01-03,11:27:00
1,2,2,2024-01-03,11:28:00
0,2,1,2024-01-03,11:28:00
1,1,0,2024-01-03,11:32:00
0,0,0,2024-01-03,11:32:00
1,0,0,2024-01-03,11:34:00
0,0,1,2024-01-03,11:38:00
0,1,3,2024-01-03,11:39:00
1,2,3,2024-01-03,11:40:00
0,1,0,2024-01-03,11:42:00
1,1,0,2024-01-03,11:52:00
0,0,0,2024-01-03,12:00:00
1,0,0,2024-01-03,12:07:00
0,2,0,2024-01-03,12:08:00
1,1,0,2024-01-03,12:09:00
1,1,0,2024-01-03,12:10:00
0,1,0,2024-01-03,12:15:00
1,0,1,2024-01-03,12:26:00
1,0,1,2024-01-03,12:54:00
0,0,3,2024-01-03,12:55:00
1,1,3,2024-01-03,12:58:00
1,3,3,2024-01-03,13:02:00
1,2,1,2024-01-03,13:14:00
0,2,1,2024-01-03,13:14:00
0,1,0,2024-01-03,13:20:00
1,2,0,2024-01-03,13:20:00
1,2,0,2024-01-03,13:20:00
1,4,0,2024-01-03,13:21:00
1,4,0,2024-01-03,13:25:00
0,1,0,2024-01-03,13:26:00
0,2,0,2024-01-03,13:34:00
1,1,0,2024-01-03,13:36:00
1,1,0,2024-01-03,13:37:00
1,1,0,2024-01-03,13:37:00
1,0,2,2024-01-03,13:40:00
1,0,4,2024-01-03,13:46:00
1,1,4,2024-01-03,13:56:00
1,3,2,2024-01-03,13:59:00
0,0,0,2024-01-03,14:03:00
1,0,0,2024-01-03,14:08:00
1,1,0,2024-01-03,14:09:00
1,0,1,2024-01-03,14:14:00
1,0,1,2024-01-03,14:14:00
1,2,1,2024-01-03,14:23:00
0,2,2,2024-01-03,14:24:00
1,2,0,2024-01-03,14:30:00
1,2,0,2024-01-03,14:30:00
1,2,0,2024-01-03,14:30:00
0,1,1,2024-01-03,14:36:00
1,0,1,2024-01-03,14:41:00
0,2,0,2024-01-03,14:47:00
1,0,0,2024-01-03,15:11:00
0,0,0,2024-01-03,15:22:00
0,2,0,2024-01-03,08:44:00
0,6,0,2024-01-03,08:47:00
1,0,0,2024-01-03,09:41:00
1,0,0,2024-01-03,10:12:00
0,0,1,2024-01-03,10:54:00
0,0,2,2024-01-03,11:05:00
0,0,0,2024-01-03,12:06:00
0,0,0,2024-01-03,12:07:00
1,2,2,2024-01-03,12:22:00
1,0,1,2024-01-03,12:45:00
0,0,1,2024-01-03,12:47:00
0,0,0,2024-01-03,12:53:00
1,0,1,2024-01-03,13:15:00
0,0,1,2024-01-03,13:35:00
0,2,0,2024-01-03,13:36:00
1,1,0,2024-01-03,13:37:00
0,0,3,2024-01-03,14:40:00
0,0,1,2024-01-03,14:40:00
1,0,0,2024-01-04,08:48:00
1,0,0,2024-01-04,09:05:00
1,2,0,2024-01-04,09:19:00
1,0,1,2024-01-04,09:24:00
1,0,4,2024-01-04,09:34:00
0,0,1,2024-01-04,10:08:00
1,0,0,2024-01-04,10:11:00
0,0,0,2024-01-04,10:14:00
1,0,4,2024-01-04,10:19:00
0,0,1,2024-01-04,10:20:00
1,0,0,2024-01-04,10:20:00
1,0,0,2024-01-04,10:20:00
0,0,0,2024-01-04,10:26:00
1,0,0,2024-01-04,10:29:00
1,0,1,2024-01-04,10:31:00
0,1,0,2024-01-04,10:32:00
0,1,0,2024-01-04,10:32:00
0,0,2,2024-01-04,10:36:00
0,0,0,2024-01-04,10:37:00
1,0,0,2024-01-04,10:37:00
1,0,0,2024-01-04,10:37:00
1,2,0,2024-01-04,10:41:00
0,0,0,2024-01-04,10:43:00
0,0,0,2024-01-04,10:46:00
0,2,0,2024-01-04,10:47:00
0,0,0,2024-01-04,10:48:00
1,0,2,2024-01-04,10:52:00
1,0,0,2024-01-04,10:54:00
1,0,0,2024-01-04,10:54:00
1,0,0,2024-01-04,10:59:00
0,0,0,2024-01-04,11:00:00
1,0,0,2024-01-04,11:03:00
0,0,0,2024-01-04,11:12:00
1,2,0,2024-01-04,11:12:00
1,0,0,2024-01-04,11:13:00
1,0,0,2024-01-04,11:15:00
1,2,0,2024-01-04,11:16:00
1,7,0,2024-01-04,11:18:00
1,7,0,2024-01-04,11:18:00
0,7,0,2024-01-04,11:18:00
1,1,0,2024-01-04,11:20:00
0,1,3,2024-01-04,11:20:00
1,2,0,2024-01-04,11:24:00
0,1,0,2024-01-04,11:33:00
0,2,0,2024-01-04,11:34:00
0,1,0,2024-01-04,11:35:00
1,0,0,2024-01-04,11:36:00
1,0,0,2024-01-04,11:51:00
0,1,1,2024-01-04,11:51:00
1,1,0,2024-01-04,11:54:00
1,0,2,2024-01-04,11:58:00
0,1,2,2024-01-04,12:05:00
0,2,0,2024-01-04,12:20:00
0,1,0,2024-01-04,12:21:00
1,1,0,2024-01-04,12:29:00
0,1,0,2024-01-04,12:46:00
1,1,0,2024-01-04,12:47:00
1,1,0,2024-01-04,12:52:00
1,1,0,2024-01-04,12:53:00
0,1,0,2024-01-04,13:08:00
0,3,0,2024-01-04,13:08:00
1,0,1,2024-01-04,13:19:00
0,0,0,2024-01-04,13:20:00
1,1,2,2024-01-04,13:21:00
0,2,3,2024-01-04,13:27:00
1,2,0,2024-01-04,13:28:00
1,0,0,2024-01-04,13:32:00
1,0,0,2024-01-04,13:32:00
1,1,0,2024-01-04,13:47:00
1,1,0,2024-01-04,13:48:00
1,0,0,2024-01-04,13:51:00
0,0,0,2024-01-04,13:59:00
1,2,0,2024-01-04,14:04:00
1,0,0,2024-01-04,14:04:00
1,3,0,2024-01-04,14:06:00
1,3,0,2024-01-04,14:06:00
1,0,0,2024-01-04,14:11:00
1,1,0,2024-01-04,14:16:00
1,1,0,2024-01-04,14:16:00
0,1,0,2024-01-04,14:17:00
0,1,0,2024-01-04,14:17:00
0,1,0,2024-01-04,14:17:00
0,2,0,2024-01-04,14:33:00
1,2,4,2024-01-04,15:00:00
1,2,4,2024-01-04,15:02:00
0,2,4,2024-01-04,15:03:00
1,0,4,2024-01-04,15:17:00
1,2,4,2024-01-04,15:56:00
1,4,4,2024-01-04,15:58:00
1,0,4,2024-01-04,16:00:00
0,4,0,2024-01-04,08:18:00
1,2,0,2024-01-04,09:07:00
1,1,3,2024-01-04,09:21:00
1,0,0,2024-01-04,09:26:00
1,0,0,2024-01-04,09:31:00
1,7,4,2024-01-04,09:46:00
0,0,3,2024-01-04,09:51:00
0,0,1,2024-01-04,10:27:00
1,7,0,2024-01-04,10:53:00
1,0,1,2024-01-04,10:54:00
1,0,0,2024-01-04,11:01:00
1,0,4,2024-01-04,11:22:00
1,0,0,2024-01-04,11:22:00
1,2,0,2024-01-04,11:54:00
1,0,2,2024-01-04,11:54:00
1,0,1,2024-01-04,11:57:00
0,0,0,2024-01-04,13:29:00
1,0,0,2024-01-04,13:30:00
1,0,0,2024-01-04,14:06:00
1,0,0,2024-01-04,14:11:00
0,1,0,2024-01-04,14:17:00
1,1,0,2024-01-04,14:19:00
1,2,2,2024-01-04,14:25:00
0,7,0,2024-01-04,14:26:00
0,1,0,2024-01-04,14:29:00
1,0,0,2024-01-04,14:35:00
1,0,1,2024-01-04,14:46:00
1,1,0,2024-01-04,15:36:00
1,1,0,2024-01-04,15:36:00
1,1,0,2024-01-04,15:37:00
1,0,0,2024-01-04,14:10:00
1,0,0,2024-01-04,14:10:00
1,0,0,2024-01-04,14:10:00
1,0,0,2024-01-04,14:10:00
0,0,0,2024-01-05,09:14:00
0,1,0,2024-01-05,09:21:00
1,0,0,2024-01-05,09:25:00
0,2,0,2024-01-05,09:56:00
0,2,0,2024-01-05,10:11:00
0,0,0,2024-01-05,10:16:00
1,0,0,2024-01-05,10:23:00
1,0,1,2024-01-05,10:27:00
1,0,0,2024-01-05,10:48:00
0,0,0,2024-01-05,10:55:00
1,2,0,2024-01-05,11:02:00
1,0,4,2024-01-05,11:20:00
1,0,4,2024-01-05,11:20:00
1,0,4,2024-01-05,11:20:00
1,1,4,2024-01-05,13:07:00
0,1,4,2024-01-05,13:07:00
0,2,4,2024-01-05,13:18:00
0,1,0,2024-01-05,13:22:00
0,1,0,2024-01-05,13:22:00
1,0,0,2024-01-05,13:34:00
1,1,0,2024-01-05,13:34:00
0,0,0,2024-01-05,13:35:00
1,0,0,2024-01-05,13:35:00
0,0,0,2024-01-05,13:35:00
1,2,0,2024-01-05,13:42:00
1,2,0,2024-01-05,13:42:00
1,2,0,2024-01-05,13:48:00
1,2,0,2024-01-05,13:49:00
1,0,0,2024-01-05,13:54:00
1,1,0,2024-01-05,14:04:00
0,0,0,2024-01-05,14:04:00
1,0,1,2024-01-05,14:07:00
0,0,0,2024-01-05,14:25:00
1,2,0,2024-01-05,14:35:00
0,2,0,2024-01-05,14:40:00
1,0,0,2024-01-05,14:53:00
1,0,0,2024-01-05,14:53:00
1,0,0,2024-01-05,14:54:00
1,0,0,2024-01-05,14:55:00
1,2,0,2024-01-05,15:01:00
1,0,0,2024-01-05,09:02:00
1,7,2,2024-01-05,09:59:00
1,1,0,2024-01-05,10:17:00
0,0,0,2024-01-05,10:20:00
0,0,1,2024-01-05,10:28:00
0,1,2,2024-01-05,10:57:00
0,0,1,2024-01-05,13:09:00
1,6,0,2024-01-05,13:15:00
1,0,1,2024-01-05,13:21:00
0,0,1,2024-01-05,13:25:00
0,0,3,2024-01-05,13:26:00
1,0,0,2024-01-05,11:14:00
1,0,0,2024-01-05,11:14:00
1,0,0,2024-01-05,11:14:00
1,0,0,2024-01-05,11:14:00
1,0,0,2024-01-05,11:14:00
0,0,1,2024-01-08,08:01:00
1,0,0,2024-01-08,08:34:00
1,0,0,2024-01-08,08:48:00
1,2,0,2024-01-08,08:49:00
1,2,0,2024-01-08,08:50:00
1,0,0,2024-01-08,08:59:00
1,0,1,2024-01-08,09:07:00
1,0,4,2024-01-08,09:22:00
0,0,0,2024-01-08,09:25:00
1,0,0,2024-01-08,09:28:00
1,0,0,2024-01-08,09:35:00
1,0,1,2024-01-08,09:40:00
1,0,1,2024-01-08,10:03:00
0,0,0,2024-01-08,10:05:00
1,2,1,2024-01-08,10:19:00
0,0,0,2024-01-08,10:21:00
1,0,4,2024-01-08,10:22:00
1,0,4,2024-01-08,10:22:00
1,0,0,2024-01-08,10:27:00
1,2,0,2024-01-08,10:30:00
0,0,0,2024-01-08,10:31:00
1,0,1,2024-01-08,10:39:00
0,0,0,2024-01-08,10:55:00
0,1,0,2024-01-08,11:00:00
0,2,3,2024-01-08,11:21:00
1,0,0,2024-01-08,11:21:00
1,0,0,2024-01-08,11:21:00
1,0,1,2024-01-08,11:28:00
1,0,1,2024-01-08,11:30:00
0,2,0,2024-01-08,11:36:00
0,2,0,2024-01-08,11:50:00
1,0,0,2024-01-08,11:51:00
0,0,0,2024-01-08,12:23:00
0,0,0,2024-01-08,13:02:00
0,0,0,2024-01-08,13:47:00
0,0,0,2024-01-08,13:47:00
1,0,0,2024-01-08,13:50:00
0,1,0,2024-01-08,14:00:00
1,0,0,2024-01-08,14:20:00
1,0,0,2024-01-08,14:22:00
0,0,0,2024-01-08,14:24:00
1,0,0,2024-01-08,14:25:00
1,1,0,2024-01-08,14:37:00
0,1,0,2024-01-08,14:48:00
1,1,0,2024-01-08,14:59:00
1,1,0,2024-01-08,08:34:00
0,6,0,2024-01-08,09:24:00
1,6,2,2024-01-08,10:19:00
0,0,0,2024-01-08,10:30:00
1,0,1,2024-01-08,10:44:00
1,0,1,2024-01-08,10:44:00
1,0,1,2024-01-08,11:00:00
1,0,0,2024-01-08,11:06:00
1,9,4,2024-01-08,11:30:00
0,0,3,2024-01-08,11:48:00
1,1,2,2024-01-08,11:52:00
1,1,2,2024-01-08,11:54:00
1,0,0,2024-01-08,11:55:00
1,0,0,2024-01-08,12:53:00
1,0,1,2024-01-08,13:44:00
0,0,0,2024-01-08,13:45:00
1,0,0,2024-01-08,13:46:00
0,1,0,2024-01-08,14:48:00
1,2,0,2024-01-09,08:54:00
1,2,0,2024-01-09,08:57:00
1,2,0,2024-01-09,09:08:00
0,1,0,2024-01-09,09:08:00
1,1,5,2024-01-09,09:23:00
1,0,1,2024-01-09,09:27:00
1,0,1,2024-01-09,09:33:00
1,2,1,2024-01-09,09:36:00
1,2,1,2024-01-09,09:39:00
0,1,0,2024-01-09,09:46:00
1,1,1,2024-01-09,10:03:00
1,2,1,2024-01-09,10:13:00
1,2,0,2024-01-09,10:14:00
1,0,1,2024-01-09,10:20:00
1,0,1,2024-01-09,10:20:00
1,0,0,2024-01-09,10:21:00
0,0,1,2024-01-09,10:30:00
1,0,1,2024-01-09,10:30:00
1,0,1,2024-01-09,10:33:00
1,0,0,2024-01-09,10:35:00
1,0,1,2024-01-09,10:36:00
1,0,0,2024-01-09,10:43:00
0,1,0,2024-01-09,10:50:00
1,4,0,2024-01-09,11:10:00
1,4,0,2024-01-09,11:14:00
1,1,0,2024-01-09,11:21:00
1,0,0,2024-01-09,11:22:00
0,2,0,2024-01-09,11:25:00
1,0,0,2024-01-09,11:28:00
1,0,0,2024-01-09,11:28:00
1,0,0,2024-01-09,11:34:00
0,0,0,2024-01-09,11:41:00
0,0,0,2024-01-09,11:41:00
1,2,0,2024-01-09,11:42:00
